VALUES,ACTIONS,ARGUMENTS,AVERAGE LENGTH,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DIALOGUE SCORE,CONSENSUS SCORE
6,8,10,3.228,0.659,0.121,1.309,0.363
6,8,12,3.391,0.673,0.155,1.397,0.465
6,8,14,3.757,0.647,0.155,1.343,0.465
6,8,16,3.802,0.643,0.159,1.311,0.477
6,8,18,4.1,0.668,0.183,1.4,0.549
6,8,20,4.477,0.635,0.177,1.331,0.531
6,8,22,4.532,0.649,0.192,1.405,0.576
6,8,24,4.851,0.64,0.213,1.36,0.639
6,8,26,4.885,0.659,0.216,1.455,0.648
6,8,28,5.047,0.675,0.221,1.495,0.663
6,8,30,5.457,0.665,0.212,1.493,0.636
6,8,32,5.566,0.669,0.26,1.493,0.78
6,8,34,5.69,0.668,0.238,1.462,0.714
6,8,36,6.047,0.677,0.254,1.561,0.762
6,8,38,5.777,0.692,0.283,1.6,0.849
6,8,40,6.149,0.671,0.277,1.529,0.831
6,8,42,6.575,0.683,0.272,1.555,0.816
6,8,44,6.299,0.729,0.28,1.651,0.84
6,8,46,6.635,0.703,0.282,1.637,0.846
6,8,48,6.787,0.684,0.319,1.646,0.957
6,8,50,6.962,0.726,0.328,1.724,0.984
6,8,52,7.039,0.712,0.299,1.64,0.897
6,8,54,6.994,0.738,0.345,1.784,1.035
6,8,56,7.113,0.718,0.338,1.678,1.014
6,8,58,7.872,0.698,0.35,1.664,1.05
6,8,60,7.676,0.708,0.34,1.682,1.02
6,8,62,8.366,0.695,0.306,1.643,0.918
6,8,64,8.096,0.712,0.325,1.686,0.975
6,8,66,8.054,0.744,0.336,1.784,1.008
6,8,68,8.847,0.703,0.338,1.719,1.014
6,8,70,8.55,0.742,0.36,1.78,1.08
6,8,72,8.827,0.718,0.381,1.736,1.143
6,8,74,8.941,0.714,0.36,1.744,1.08
6,8,76,9.101,0.718,0.361,1.746,1.083
6,8,78,8.859,0.743,0.381,1.775,1.143
6,8,80,8.987,0.729,0.39,1.777,1.17
6,8,82,9.262,0.744,0.392,1.846,1.176
6,8,84,9.334,0.733,0.384,1.757,1.152
6,8,86,9.955,0.728,0.361,1.794,1.083
6,8,88,9.768,0.739,0.404,1.849,1.212
6,8,90,9.743,0.736,0.39,1.812,1.17
6,8,92,10.27,0.726,0.395,1.85,1.185
6,8,94,10.329,0.733,0.392,1.783,1.176
6,8,96,10.405,0.746,0.435,1.902,1.305
8,2,2,2.23,0.574,0.125,1.252,0.375
8,2,4,2.612,0.588,0.22,1.336,0.66
8,2,6,3.04,0.598,0.217,1.388,0.651
8,2,8,3.507,0.544,0.233,1.262,0.699
8,2,10,3.985,0.46,0.236,1.132,0.708
8,2,12,4.442,0.482,0.247,1.168,0.741
8,2,14,4.671,0.479,0.233,1.145,0.699
8,2,16,5.133,0.459,0.235,1.149,0.705
8,2,18,5.598,0.414,0.214,1.032,0.642
8,2,20,5.865,0.442,0.236,1.116,0.708
8,2,22,6.617,0.409,0.227,1.013,0.681
8,2,24,6.985,0.385,0.222,0.975,0.666
8,2,26,7.191,0.391,0.221,0.985,0.663
8,2,28,7.818,0.371,0.21,0.959,0.63
8,2,30,8.177,0.385,0.228,0.991,0.684
8,2,32,8.523,0.368,0.202,0.956,0.606
8,4,2,2.164,0.63,0.061,1.228,0.183
